DEPT,DEPT,GR,CALI,SP,ILD,SFLU,MSFL,DT,RHOB,DRHO,PEF,NPHI,log10_ILD,log10_SFLU,log10_MSFL,ILD_to_SFLU,MSFL_to_SFLU,ILD_to_MSFL,NPHI_RHOB_product,NPHI_minus_DRHO,GR_DT_product,DEPT_normalized,GR_roll5_mean,GR_roll15_mean,GR_roll15_std,ILD_roll5_mean,ILD_roll15_mean,ILD_roll15_std,RHOB_roll5_mean,RHOB_roll15_mean,RHOB_roll15_std,NPHI_roll5_mean,NPHI_roll15_mean,NPHI_roll15_std,DT_roll5_mean,DT_roll15_mean,DT_roll15_std,Porosity,Permeability k,Water Saturation Sw
7810.0,7810.0,68.1,14.9356,-84.2444,10.7461,10.1079,12.3017,80.6,2.4838,0.0078,3.32,24.8,1.031250877666336,1.00466093668446,1.089965131732338,1.0631387330701727,1.2170381582722425,0.8735459326759716,61.598240000000004,24.7922,5488.859999999999,0.00269323996768112,65.64668,64.58666666666666,3.0530937991923164,10.71442,10.787453333333334,0.47456850305855314,2.4987000000000004,2.495413333333333,0.022751573467303523,24.12534,23.700446666666664,1.3591357931035606,82.34224,82.95111333333332,1.272302605440047,0.20045238250713135,49.79550910604241,0.5694129717047568
7810.5,7810.5,66.0667,16.2933,-83.7333,10.8456,11.1506,12.8952,81.8667,2.5173,0.009,3.44,23.6,1.0352535830428078,1.0472982368620594,1.1104280822803,0.9726472118092299,1.1564579484512045,0.8410571375395495,59.408280000000005,23.591,5408.6627088899995,0.0028279019660651765,64.09334,64.29111333333334,3.294761834415912,10.8352,10.835106666666666,0.4859355137503405,2.50634,2.4967466666666667,0.022983965425197664,23.20534,23.686226666666666,1.3658449966787547,82.06224,82.92740666666667,1.2772909644280481,0.18652660457905818,32.62648256090354,0.6091109987613895
7811.0,7811.0,60.8667,16.1244,-83.9111,10.8789,12.3888,16.5334,81.0667,2.5353,0.0042,3.6133,20.92,1.0365849846929176,1.093029241919456,1.2183621729544314,0.878123789228981,1.3345441043523183,0.6579953306639892,53.038476,20.9158,4934.26250889,0.0029625639644492324,63.06668,64.02889333333333,3.319682331718458,10.96106,10.8819,0.4891897177987264,2.50736,2.4972333333333334,0.023224545718044495,22.650660000000002,23.528893333333333,1.4365320087263085,81.72002,82.85629333333334,1.2787933092605461,0.16627673246852986,16.422748351519328,0.6822445011478756
7811.5,7811.5,59.0,16.2644,-84.3556,11.0359,12.0637,13.9005,82.6667,2.524,-0.0011,3.5156,21.36,1.0428077565366736,1.0814805286281057,1.1430304220767944,0.9148022580137105,1.1522584281770931,0.7939210819754685,53.912639999999996,21.3611,4877.335300000001,0.0030972259628332883,62.30668000000001,63.74222666666666,3.267041988550539,11.12778,10.94108,0.46328838627483443,2.5023400000000002,2.49584,0.023075367200297917,22.458660000000002,23.388453333333334,1.4509848246064114,82.18668,82.83852,1.2794990600119425,0.17118755432590413,19.83868333993234,0.6579425173621686
7812.0,7812.0,61.3,17.0111,-84.8889,11.2988,11.1618,11.3134,82.4,2.4764,-0.0063,3.4,22.5733,1.0530323212664194,1.0477342364502567,1.0535931424440943,1.0122740059846977,1.0135820387392716,0.9987094949352096,55.900520119999996,22.5796,5051.12,0.0032318879612173446,61.573339999999995,63.32444666666667,3.0837859368145346,11.24868,11.01414,0.39690092646473957,2.49168,2.4915933333333333,0.02465155650451402,22.576,23.320006666666668,1.448332988284249,82.30668,82.90815333333333,1.3914758166712644,0.1884328147160326,36.12796489737219,0.5907331214891526
7812.5,7812.5,64.3,17.8533,-85.4222,11.5797,10.273,11.2067,82.9333,2.4587,-0.0057,3.2533,23.84,1.0636973080932937,1.0116972881141424,1.0494777461560563,1.1271975080307604,1.090888737467147,1.0332836606672795,58.615407999999995,23.8457,5332.61119,0.0033665499596014004,61.52,62.59111333333333,3.1153406126243244,11.334959999999999,11.079273333333335,0.31198118181954615,2.4828400000000004,2.4867800000000004,0.028922981470499612,22.968,23.33244666666667,1.458546694422063,82.67999999999999,82.76593333333334,1.1913200137822415,0.19989224902326297,52.76488530534049,0.5500718360828208
7813.0,7813.0,62.4,18.3489,-85.5556,11.4501,10.3574,11.5326,82.4667,2.464,0.001,3.1689,24.1867,1.0588092796242512,1.0152507489065763,1.0619272290951667,1.105499449668836,1.113464769150559,0.9928463659539046,59.59602879999999,24.185699999999997,5145.92208,0.0035012119579854563,61.67999999999999,61.857780000000005,3.348190199026477,11.382900000000001,11.11728,0.25745692621706584,2.4799999999999995,2.4830466666666666,0.032456825535001496,23.29334,23.26133333333333,1.3426888920939142,82.64888,82.67111333333334,1.1356974319564235,0.20081354605940344,53.633887298644815,0.5506382456070665
7813.5,7813.5,60.6,18.3489,-86.4222,11.3103,10.6042,12.2505,82.9333,2.4911,0.0039,3.0933,22.88,1.0534741245202068,1.0254779101283207,1.0881538146441836,1.0665868240885685,1.155249806680372,0.9232521121586873,56.996368,22.876099999999997,5025.75798,0.0036358739563695126,61.8,61.01556,3.6868269735059753,11.37136,11.131986666666668,0.2354079282153926,2.48698,2.4806066666666666,0.034701121156582374,23.146679999999996,23.167106666666665,1.2308241591172424,82.63554,82.48148666666665,1.1153718892092221,0.18716316115624032,34.72708414201503,0.5944380267104401
7814.0,7814.0,59.8,17.86,-87.4667,11.2756,10.7132,12.4524,82.5111,2.5098,0.0093,3.2933,22.9867,1.0521396609496507,1.0299192126400287,1.0952530627816488,1.052495986259941,1.1623417839674421,0.9054961292602229,57.69201965999999,22.9774,4934.16378,0.0037705359547535685,61.4,60.14444666666667,3.427965575937035,11.28758,11.1498,0.21318248051844396,2.49292,2.477093333333334,0.03694968522322262,22.832019999999996,23.085326666666667,1.1528637142020772,82.58222,82.52889333333334,1.0424169822832081,0.18408415366878458,31.340798436516156,0.6053099072720576
7814.5,7814.5,61.9,18.6,-85.5333,11.2411,10.8456,11.2886,82.3333,2.5113,0.0064,3.5822,21.84,1.0508088112824594,1.0352535830428078,1.0526400845312018,1.036466401121192,1.0408460573873277,0.9957922151551122,54.84679199999999,21.8336,5096.431269999999,0.0039051979531376244,61.260000000000005,59.56666666666667,3.070187626808713,11.22972,11.168533333333333,0.19621258757736773,2.4908399999999995,2.470993333333333,0.0373881086264959,22.57334,23.047993333333334,1.1440400095817491,83.16888,82.62518666666666,1.0435901452381258,0.17666533100933587,24.41117951107727,0.6316962237878683
