R2,RMSE,MAE,MedianAE,MAPE_percent,ExplainedVariance,Pearson_r,Target,Model,Fold,ValidationType,TrainRows,ValidationRows
0.8612855289946031,27.94184489358425,22.583292342460503,19.58847352363577,16.97639458386179,0.9307927506229324,0.9697401237965713,Permeability k,Random Forest,2,Depth TimeSeriesSplit,2057,1027
-0.40822310782714033,52.11082416636924,36.92605880067836,21.96365507605203,86.78974281277092,0.2623017268214829,0.8022265715037338,Permeability k,Random Forest,3,Depth TimeSeriesSplit,3084,1027
0.3058841766145096,170.81515020527218,74.04497603253554,11.82967905483541,39.68883125450824,0.4024310540871844,0.7484726366913753,Permeability k,Random Forest,4,Depth TimeSeriesSplit,4111,1027
0.9003301705608758,27.5730132136396,10.667743596072038,3.6967556550835354,20.918954158475746,0.906645555996922,0.9625178487008135,Permeability k,Random Forest,5,Depth TimeSeriesSplit,5138,1027
0.6133059668603746,60.8187821586581,36.6559216999029,27.64055703655771,18.33040183401195,0.616018282637385,0.8273047194602436,Permeability k,Extra Trees,1,Depth TimeSeriesSplit,1030,1027
0.9335226755855379,19.34331740975235,15.477367641048223,13.133484527344422,12.01773674781981,0.9579978918358176,0.9799842145410586,Permeability k,Extra Trees,2,Depth TimeSeriesSplit,2057,1027
-0.11265924858530241,46.32050651241185,33.04344972620537,20.50828856345524,83.78623838833988,0.4246392617785576,0.8041649329000767,Permeability k,Extra Trees,3,Depth TimeSeriesSplit,3084,1027
0.29084688183685203,172.65550224872712,74.01614400307473,9.252241478534572,30.67614435431947,0.412284900064928,0.871486193746886,Permeability k,Extra Trees,4,Depth TimeSeriesSplit,4111,1027
0.947592635408448,19.993946784194126,7.349421465663879,3.1023364101970934,16.674207035995263,0.9486865204715943,0.9756200996975448,Permeability k,Extra Trees,5,Depth TimeSeriesSplit,5138,1027
0.9617929553364996,19.11726266176448,7.159092264456772,4.011372915633274,3.829429162072601,0.9618097974865275,0.9859022130828924,Permeability k,SVR RBF,1,Depth TimeSeriesSplit,1030,1027
0.8577021112834029,28.300455184093515,19.62312404217778,11.715300117682602,17.821643724624625,0.9010909629848143,0.9567121113068563,Permeability k,SVR RBF,2,Depth TimeSeriesSplit,2057,1027
-0.5171202875453922,54.088161118314034,42.93168513651588,35.8030357025511,135.021431000473,0.07639845908485865,0.5249336321706538,Permeability k,SVR RBF,3,Depth TimeSeriesSplit,3084,1027
0.49688539931185516,145.42660823279192,60.66300045653813,9.604416672979752,36.48983374349798,0.5555795869540925,0.8896045927450179,Permeability k,SVR RBF,4,Depth TimeSeriesSplit,4111,1027
0.9345697187904253,22.340442183046157,11.490790311562527,6.061785939659881,28.202166882155762,0.9394405179796946,0.9692736338478508,Permeability k,SVR RBF,5,Depth TimeSeriesSplit,5138,1027
0.7545198297799494,48.4576325099485,33.072063971221624,28.386685389790614,10.126595550900234,0.8417976861031399,0.9294984331860986,Permeability k,ANN Deep MLP,1,Depth TimeSeriesSplit,1030,1027
0.8322173525873877,30.730364666914788,23.39930094027585,17.332372608531983,16.435936076127202,0.8907512746464172,0.9476184608144901,Permeability k,ANN Deep MLP,2,Depth TimeSeriesSplit,2057,1027
0.6764106826783671,24.97981953534162,21.57455831788208,20.92290480979093,69.33180655309017,0.8949344597788029,0.946021669033591,Permeability k,ANN Deep MLP,3,Depth TimeSeriesSplit,3084,1027
0.49984616923405367,144.99806762979287,58.31354877761337,6.755582213701132,25.35401699927669,0.5671172425012199,0.84277360334053,Permeability k,ANN Deep MLP,4,Depth TimeSeriesSplit,4111,1027
0.9611332585937452,17.218346245086245,7.234660797503666,2.8634993784476244,14.100153868454882,0.9629011114313679,0.9814106863944306,Permeability k,ANN Deep MLP,5,Depth TimeSeriesSplit,5138,1027
0.5337001592092747,66.78618216963233,50.546321106735476,42.93088594031758,22.459099536811745,0.6472039462965856,0.8777749445190632,Permeability k,XGBoost,1,Depth TimeSeriesSplit,1030,1027
0.8626174924894048,27.807369769575715,22.838223789841056,20.611216340489676,14.239634629913073,0.9083105245971574,0.9537764104363664,Permeability k,XGBoost,2,Depth TimeSeriesSplit,2057,1027
0.36354031144907617,35.03302666211431,24.540808725699108,17.099070481785837,66.24685288550641,0.6298946633460007,0.8336931349303852,Permeability k,XGBoost,3,Depth TimeSeriesSplit,3084,1027
0.4108900243938607,157.36516562395957,69.25678361736735,13.403953619034326,37.06188199291815,0.4888525860705839,0.869823355839666,Permeability k,XGBoost,4,Depth TimeSeriesSplit,4111,1027
0.911576620619353,25.97083576405511,10.445733206590205,4.047778803693163,20.707051336550983,0.9154487658743606,0.9620798863809962,Permeability k,XGBoost,5,Depth TimeSeriesSplit,5138,1027
-0.6220659247185256,0.03786997730594323,0.025182858811792042,0.018710909842383827,6.880652624383654,1.1102230246251565e-16,,Water Saturation Sw,Baseline Mean,1,Depth TimeSeriesSplit,1030,1027
-0.9057661376089179,0.0656050500245127,0.04549911447701812,0.03518054188664976,11.078759645957415,-2.220446049250313e-16,,Water Saturation Sw,Baseline Mean,2,Depth TimeSeriesSplit,2057,1027
-6.614431614856021,0.31257164979672575,0.2913245639463504,0.31496668045941384,43.881655811449995,0.0,5.964704924126499e-16,Water Saturation Sw,Baseline Mean,3,Depth TimeSeriesSplit,3084,1027
-0.30656033989484066,0.22343576358723352,0.20140137815502124,0.20107141825944136,47.683690467523206,2.220446049250313e-16,-2.0499126993698396e-16,Water Saturation Sw,Baseline Mean,4,Depth TimeSeriesSplit,4111,1027
-1.2247315106947934,0.23921075527005353,0.21035713558074234,0.19629403662660078,34.55975494263974,0.0,6.423781903859073e-16,Water Saturation Sw,Baseline Mean,5,Depth TimeSeriesSplit,5138,1027
-0.700717561373277,0.03877723980849743,0.03222178009219387,0.037084787306749134,9.685544563975581,0.0503612022465495,0.40403754262217395,Water Saturation Sw,Linear Regression,1,Depth TimeSeriesSplit,1030,1027
0.8345872960200666,0.01932799918053465,0.011052995304125781,0.007258585330438216,2.7820145373522056,0.8367376470023,0.9224786469166838,Water Saturation Sw,Linear Regression,2,Depth TimeSeriesSplit,2057,1027
-0.5104837125920427,0.13921590759394975,0.10920376225413964,0.10252788747709563,15.45954897206571,0.24519880751441137,0.5089694370611926,Water Saturation Sw,Linear Regression,3,Depth TimeSeriesSplit,3084,1027
0.9104702856265097,0.058488643929965806,0.042240187250289433,0.03342597554761151,10.409930239977559,0.9105292141509036,0.9609391086582717,Water Saturation Sw,Linear Regression,4,Depth TimeSeriesSplit,4111,1027
0.874104830870083,0.05690447645719207,0.04382077368699298,0.04018897262192267,7.036456311796738,0.8755866672083591,0.9370376268129023,Water Saturation Sw,Linear Regression,5,Depth TimeSeriesSplit,5138,1027
-0.5095475603685407,0.03653290391730721,0.030449408259545174,0.03416917212325965,9.129836200294204,0.09208158113780451,0.4118861845075285,Water Saturation Sw,Ridge Regression,1,Depth TimeSeriesSplit,1030,1027
0.8285933360925797,0.019675071494414345,0.01129330751778897,0.007576710144517995,2.8473713806655625,0.8305941796564108,0.9194554040197317,Water Saturation Sw,Ridge Regression,2,Depth TimeSeriesSplit,2057,1027
