Feature,TargetCorrelation,AbsCorrelation,Selected,Target,SelectionStage
ILD_roll15_mean,0.48037002579121296,0.48037002579121296,True,Permeability k,test_train_validation
ILD_roll5_mean,0.4693800840834648,0.4693800840834648,False,Permeability k,test_train_validation
ILD,0.46095379581438506,0.46095379581438506,False,Permeability k,test_train_validation
DT_roll15_mean,0.4408667313574847,0.4408667313574847,True,Permeability k,test_train_validation
DT_roll5_mean,0.4333249688775293,0.4333249688775293,False,Permeability k,test_train_validation
log10_ILD,0.4302702882439505,0.4302702882439505,False,Permeability k,test_train_validation
DT,0.4247536125851081,0.4247536125851081,False,Permeability k,test_train_validation
SFLU,0.4044367718439466,0.4044367718439466,False,Permeability k,test_train_validation
ILD_to_MSFL,0.4037334741393063,0.4037334741393063,True,Permeability k,test_train_validation
NPHI_roll15_std,0.39048190410212696,0.39048190410212696,True,Permeability k,test_train_validation
log10_SFLU,0.36628593086642497,0.36628593086642497,True,Permeability k,test_train_validation
ILD_roll15_std,0.3605346193139997,0.3605346193139997,True,Permeability k,test_train_validation
ILD_to_SFLU,0.3485299949340265,0.3485299949340265,False,Permeability k,test_train_validation
NPHI_minus_DRHO,0.340704141977649,0.340704141977649,True,Permeability k,test_train_validation
NPHI,0.3398438223022738,0.3398438223022738,False,Permeability k,test_train_validation
NPHI_roll5_mean,0.32033396355012217,0.32033396355012217,False,Permeability k,test_train_validation
DEPT,-0.30342510263049133,0.30342510263049133,True,Permeability k,test_train_validation
DEPT_normalized,-0.3034251026304912,0.3034251026304912,False,Permeability k,test_train_validation
RHOB_roll5_mean,-0.29326025894289354,0.29326025894289354,True,Permeability k,test_train_validation
RHOB,-0.2928869083743155,0.2928869083743155,False,Permeability k,test_train_validation
RHOB_roll15_mean,-0.291004608623494,0.291004608623494,False,Permeability k,test_train_validation
NPHI_roll15_mean,0.2725194904569333,0.2725194904569333,False,Permeability k,test_train_validation
NPHI_RHOB_product,0.25674310417486207,0.25674310417486207,False,Permeability k,test_train_validation
MSFL_to_SFLU,-0.25045823152035585,0.25045823152035585,True,Permeability k,test_train_validation
SP,-0.23526851259949272,0.23526851259949272,True,Permeability k,test_train_validation
log10_MSFL,0.20882562775451108,0.20882562775451108,True,Permeability k,test_train_validation
PEF,-0.20803495098114852,0.20803495098114852,True,Permeability k,test_train_validation
MSFL,0.19975230278835612,0.19975230278835612,False,Permeability k,test_train_validation
DRHO,-0.14857783234804628,0.14857783234804628,False,Permeability k,test_train_validation
CALI,-0.14700120072728326,0.14700120072728326,False,Permeability k,test_train_validation
GR_roll15_mean,-0.124154136686352,0.124154136686352,False,Permeability k,test_train_validation
GR_roll5_mean,-0.12242187002662241,0.12242187002662241,False,Permeability k,test_train_validation
GR,-0.11642935373251048,0.11642935373251048,False,Permeability k,test_train_validation
GR_DT_product,0.06067030213464916,0.06067030213464916,False,Permeability k,test_train_validation
RHOB_roll15_std,-0.05903721310863288,0.05903721310863288,False,Permeability k,test_train_validation
DT_roll15_std,-0.023788065099717585,0.023788065099717585,False,Permeability k,test_train_validation
GR_roll15_std,0.019512368599000417,0.019512368599000417,False,Permeability k,test_train_validation
log10_ILD,-0.8804869504946357,0.8804869504946357,True,Water Saturation Sw,validation_train_only
log10_SFLU,-0.794349459830429,0.794349459830429,False,Water Saturation Sw,validation_train_only
RHOB_roll5_mean,0.7351382327978985,0.7351382327978985,True,Water Saturation Sw,validation_train_only
RHOB_roll15_mean,0.732768403675434,0.732768403675434,False,Water Saturation Sw,validation_train_only
RHOB,0.729116908771963,0.729116908771963,False,Water Saturation Sw,validation_train_only
SFLU,-0.7165383234748438,0.7165383234748438,False,Water Saturation Sw,validation_train_only
DT_roll15_mean,-0.7111929826300202,0.7111929826300202,True,Water Saturation Sw,validation_train_only
DT_roll5_mean,-0.7089995866476232,0.7089995866476232,False,Water Saturation Sw,validation_train_only
DT,-0.6996869379486517,0.6996869379486517,False,Water Saturation Sw,validation_train_only
ILD_roll15_mean,-0.678394603581263,0.678394603581263,False,Water Saturation Sw,validation_train_only
ILD_roll5_mean,-0.6715913642704726,0.6715913642704726,False,Water Saturation Sw,validation_train_only
ILD,-0.6687628555166879,0.6687628555166879,False,Water Saturation Sw,validation_train_only
DEPT_normalized,0.579422712008831,0.579422712008831,True,Water Saturation Sw,validation_train_only
DEPT,0.5794227120088309,0.5794227120088309,False,Water Saturation Sw,validation_train_only
log10_MSFL,-0.5700726972358982,0.5700726972358982,True,Water Saturation Sw,validation_train_only
ILD_to_SFLU,-0.5500103563546667,0.5500103563546667,True,Water Saturation Sw,validation_train_only
PEF,0.5461603508307884,0.5461603508307884,True,Water Saturation Sw,validation_train_only
MSFL,-0.5359609626625067,0.5359609626625067,False,Water Saturation Sw,validation_train_only
ILD_to_MSFL,-0.5359522014395989,0.5359522014395989,False,Water Saturation Sw,validation_train_only
MSFL_to_SFLU,0.5224783707072217,0.5224783707072217,True,Water Saturation Sw,validation_train_only
SP,0.4705280808011159,0.4705280808011159,True,Water Saturation Sw,validation_train_only
ILD_roll15_std,-0.4299282033988642,0.4299282033988642,True,Water Saturation Sw,validation_train_only
GR_roll15_mean,0.3817114899960371,0.3817114899960371,True,Water Saturation Sw,validation_train_only
